Product Manufacturer,YoW Product#,YoW Item#,Mfctr. Model No.,Product Code, List Price , DBM , Image Name ,Collection Name,Product Name,Product Name Short,Finish,Product Description, Product Weight ,Bullet #1,Bullet #2,Bullet #3,Bullet #4,Bullet #5,Bullet #6,Bullet #7,Bullet #8,Bullet #9,Bullet #10,Bullet #11,Bullet #12,Bullet #13,UPC,Lead Restriction?,Shipping Method
Pegasus,PEFW0B5226BN,527681,FW0B5226BNV,PE-FW0B5226BNV, 229.69 , Y , PE_FW0B5226BNV.jpg ,Cottage,"Pegasus FW0B5226BNV Cottage Series Widespread Lavatory Faucet, Brushed Nickel Finish",Pegasus FW0B5226BNV Cottage Widespread Lav Faucet,Brushed Nickel,Pegasus Cottage Series Widespread Lavatory Faucet in Brushed Nickel # FW0B5226BNV. This widespread faucet has adjustable connections (6 In. - 12 In.) for standard or custom installations. It uses 1/2 In. threaded connections. The faucet has ceramic disc valving which assures lifetime drip-free performance. It Includes a metal pop-up drain. It is AMPO and NSF Certified., 7.00 ,"6"" to 12"" Adjustable Centers","1/2"" IPS Inlets","4-3/32"" Spout Height","4-9/16"" Spout Reach",Metal Pop-up Drain Lever Handles,,,,,,,,,019934448376,Y,UPS
Pegasus,PEFW0B5207CP,459689,FW0B5207CP,PE-FW0B5207CP, 254.69 , Y , PE_FW0B5207CP.jpg ,2000 Series,"Pegasus FW0B5207CP 2000 Series Widespread Lavatory Faucet, Chrome Finish",Pegasus FW0B5207CP 2000 Widespread Lav Faucet,Chrome,Pegasus 1000 Series Widespread Lavatory Faucet in Chrome # FW0B5207CP. Adjustable connections (6 In. - 12 In.) for standard or custom installations. Features S Style Lever Handles. This faucet is in compliance with the Americans with Disabilities Act (ADA). Uses 1/2 In. threaded connections., 8.20 ,"6"" to 12"" Adjustable Centers","1/2"" IPS Inlets","5-1/3"" Spout Height","4-2/3"" Spout Reach","2-1/3"" Maximum Deck Thickness","Metal Pop-up Drain ""S"" Style Lever Handles",,,,,,,,019934445368,N,UPS
Pegasus,PEFW0B5207BN,459777,FW0B5207BNC,PE-FW0B5207BNC, 265.63 , N , PE_FW0B5207BNC.jpg ,2000 Series,"Pegasus FW0B5207BNC 2000 Series Widespread Lavatory Faucet, Brushed Nickel/Chrome Finish",Pegasus FW0B5207BNC 2000 Widespread Lav Faucet,Brushed Nickel/Chrome,Pegasus 1000 Series Widespread Lavatory Faucet in Brushed Nickel/Chrome # FW0B5207BNC. Adjustable connections (6 In. - 12 In.) for standard or custom installations. Features S Style Lever Handles. This faucet is in compliance with the Americans with Disabilities Act (ADA). Uses 1/2 In. threaded connections., 8.20 ,"6"" to 12"" Adjustable Centers","1/2"" IPS Inlets","5-1/3"" Spout Height","4-2/3"" Spout Reach","2-1/3"" Maximum Deck Thickness","Metal Pop-up Drain ""S"" Style Lever Handles",,,,,,,,019934445405,N,UPS
Pegasus,PEFW0B5205BN,459661,FW0B5205BN,PE-FW0B5205BN, 218.75 , N , PE_FW0B5205BN.jpg ,1000 Series,"Pegasus FW0B5205BN 1000 Series Widespread Lavatory Faucet, Brushed Nickel Finish",Pegasus FW0B5205BN 1000 Widespread Lav Faucet,Brushed Nickel,Pegasus 1000 Series Widespread Lavatory Faucet in Brushed Nickel # FW0B5205BN. Double set screws to strengthen the handles. Drip free ceramic disc cartridge provides outstanding performance and reliability. Solid brass ceramic cartridge with brass stem. Flow rate: 2.2 GPM at 60 PSI max. 100% certified factory pressure tested before shipment., 7.10 ,"6"" to 12"" Adjustable Centers","1/2"" IPS Inlets","3"" Spout Height","4-2/3"" Spout Reach","2"" Maximum Deck Thickness",Metal Pop-up Drain Lever Handles,,,,,,,,019934445320,N,UPS
Pegasus,PEFS2AD202RB,594473,FS2AD202RBP,PE-FS2AD202RBP, 217.19 , N , PE_FS2AD202RBP.jpg ,,"Pegasus FS2AD202RBP 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain, Oil Rubbed Bronze Finish","Pegasus FS2AD202RBP 8"" Double Handle Basin Pillar Tap with Pop-Up Drain",Oil Rubbed Bronze,"Pegasus 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain in Oil Rubbed Bronze # FS2AD202RBP. Features solid brass waterways, drip free ceramic cartridge, small porcelain basin included for decoration, brass pop-up drain assembly. Fits all 8-Inch center hole sinks. Max. flow rate: 2.2GPM at 60PSI. NSF and IAMPO Certified.", 7.50 ,"8"" Centers","1/2"" IPS Inlets","5"" Handle Height","2-9/16"" Maximum Deck Thickness",Metal Pop-up Drain,Cross handles with porcelain,hot/cold index buttons,,,,,,,019934451963,N,UPS
Pegasus,PEFS2AD202PN,594369,FS2AD202PNV,PE-FS2AD202PNV, 193.75 , N , PE_FS2AD202PNV.jpg ,,"Pegasus FS2AD202PNV 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain, Polished Nickel Finish","Pegasus FS2AD202PNV 8"" Double Handle Basin Pillar Tap with Pop-Up Drain",Polished Nickel,"Pegasus 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain in Polished Nickel # FS2AD202PNV. Features solid brass waterways, drip free ceramic cartridge, small porcelain basin included for decoration, brass pop-up drain assembly. Fits all 8-Inch center hole sinks. Max. flow rate: 2.2GPM at 60PSI. NSF and IAMPO Certified.", 7.70 ,"8"" Centers","1/2"" IPS Inlets","5"" Handle Height","2-9/16"" Maximum Deck Thickness",Metal Pop-up Drain,Cross handles with porcelain,hot/cold index buttons,,,,,,,019934872645,Y,UPS
Pegasus,PEFS2AD202CP,568545,FS2AD202CP,PE-FS2AD202CP, 143.00 , N , PE_FS2AD202CP.jpg ,,"Pegasus FS2AD202CP 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain, Chrome Finish","Pegasus FS2AD202CP 8"" Double Handle Basin Pillar Tap with Pop-Up Drain",Polished Nickel,"Pegasus 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain in Chrome # FS2AD202CP. Features solid brass waterways, drip free ceramic cartridge, small porcelain basin included for decoration, brass pop-up drain assembly. Fits all 8-Inch center hole sinks. Max. flow rate: 2.2GPM at 60PSI. NSF and IAMPO Certified.", 8.50 ,"8"" Centers","1/2"" IPS Inlets","5"" Handle Height","2-9/16"" Maximum Deck Thickness",Metal Pop-up Drain,Cross handles with porcelain,hot/cold index buttons,,,,,,,019934450645,Y,UPS
Pegasus,PEFS2AD202BN,594465,FS2AD202BNV,PE-FS2AD202BNV, 159.00 , N , PE_FS2AD202BNV.jpg ,,"Pegasus FS2AD202BNV 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain, Brushed Nickel Finish","Pegasus FS2AD202BNV 8"" Double Handle Basin Pillar Tap with Pop-Up Drain",Brushed Nickel,"Pegasus 8-Inch Double Handle Basin Pillar Tap with Pop-Up Drain in Brushed Nickel # FS2AD202BNV. Features solid brass waterways, drip free ceramic cartridge, small porcelain basin included for decoration, brass pop-up drain assembly. Fits all 8-Inch center hole sinks. Max. flow rate: 2.2GPM at 60PSI. NSF and IAMPO Certified.", 8.50 ,"8"" Centers","1/2"" IPS Inlets","5"" Handle Height","2-9/16"" Maximum Deck Thickness",Metal Pop-up Drain,Cross handles with porcelain,hot/cold index buttons,,,,,,,019934451949,N,UPS
Pegasus,PEFS1A5070RB,249037,FS1A5070RBP,PE-FS1A5070RBP, 192.19 , N , PE_FS1A5070RBP.jpg ,Newbury,"Pegasus FS1A5070RBP Newbury Single Bar Faucet, Oil Rubbed Bronze Finish",Pegasus FS1A5070RBP Newbury Single Bar Faucet,Oil Rubbed Bronze,Pegasus Newbury Single Bar Faucet in Oil Rubbed Bronze # FS1A5070RBP. This High Arc Bar faucet is the perfect choice for your secondary faucet. Its casual design will not only be a conversational piece it will complete the design of your kitchen. Features an 11-9/16-Inch spout height and 1-1/2-Inch maximum deck thickness., 4.42 ,Single Post Mount,"1/2"" IPS Inlets","11-9/16"" Spout Height","7"" Aerator Clearance","5-3/16"" Spout Reach","1-1/2"" Maximum Deck Thickness",Lever Handle,,,,,,,019934494229,Y,UPS
Pegasus,PEFS1A5070BN,249033,FS1A5070BNV,PE-FS1A5070BNV, 181.25 , N , PE_FS1A5070BNV.jpg ,Newbury,"Pegasus FS1A5070BNV Newbury Single Bar Faucet, Brushed Nickel Finish",Pegasus FS1A5070BNV Newbury Single Bar Faucet,Brushed Nickel,Pegasus Newbury Single Bar Faucet in Brushed Nickel # FS1A5070BNV. This High Arc Bar faucet is the perfect choice for your secondary faucet. Its casual design will not only be a conversational piece it will complete the design of your kitchen. Features an 11-9/16-Inch spout height and 1-1/2-Inch maximum deck thickness., 4.45 ,Single Post Mount,"1/2"" IPS Inlets","11-9/16"" Spout Height","7"" Aerator Clearance","5-3/16"" Spout Reach","1-1/2"" Maximum Deck Thickness",Lever Handle,,,,,,,019934494212,N,UPS
