Subclass description,ListPrice,ItemNumber,ProductNumber,Product Name,UpcNumber,Image Name,Weight,Description
Toilets,520,255861,2738014020,American Standard 2738014020 Oakmont Champion 4 Elongated Right Height Toilet- White,033056693735,AS_2738_014.jpg,122,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,520,256085,2733014020,American Standard 2733014020 Townsend Champion 4 Elongated Right Height Toilet- White,033056693889,AS_2733_014.jpg,89,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,781,256097,2733014178,American Standard 2733014178 Townsend Champion 4 Elongated Right Height Toilet- Black,033056693919,AS_2733_014.jpg,89,ADA elongated toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,490,256129,2367014020,American Standard 2367014020 Doral Champion 4 Elongated Right Height Toilet- White,033056693988,AS_2367_014_silo.jpg,89,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,612,256293,2367014021,American Standard 2367014021 Doral Champion 4 Elongated Right Height Toilet- Bone,033056693995,AS_2367_014_silo.jpg,89,ADA elongated toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,529,256313,2368014021,American Standard 2368014021 Doral Champion 4 Elongated Toilet- Bone,033056694138,AS_2368_016_silo.jpg,89,Elongated toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,529,256317,2368014222,American Standard 2368014222 Doral Champion 4 Elongated Toilet- Linen,033056694145,AS_2368_016_silo.jpg,89,Elongated toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,635,256325,2368014178,American Standard 2368014178 Doral Champion 4 Elongated Toilet- Black,033056694169,AS_2368_016_silo.jpg,89,Elongated toilet combination - tank and bowl<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,612,256361,2058014021,American Standard 2058014021 Doral Classic Champion 4 Right Height Elongated Combination Toilet- Bone,033056694237,AS_2058_014_silo.jpg,0,ADA elongated toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,612,256369,2058014222,American Standard 2058014222 Doral Classic Champion 4 Right Height Elongated Combination Toilet- Linen,033056694244,AS_2058_014_silo.jpg,0,ADA elongated toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,635,256397,2074014178,American Standard 2074014178 Doral Classic Champion 4 Elongated Toilet- Black,033056694312,AS_2074_014.jpg,0,Elongated toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,461,257013,2018214021,American Standard 2018214021 Champion 4 Elongated Combination Toilet- Bone,033056694480,AS_2002_014-BS.jpg,73,Toilet combination - tank and bowl<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,461,257017,2018214222,American Standard 2018214222 Champion 4 Elongated Combination Toilet- Linen,033056694497,AS_2002_014-BS.jpg,0,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
