SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;ShortDescr
"MA-2/16";"";"Allied Brass MA-2/16 Mambo Collection 16 Inches Double Glass Shelf";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>Length - available in 16 inches </li>
</ul>
";"68.5000";"";"";"";"";"";"9999";"In Stock";"No";"MA-2-M-L.jpg";"0.00";"1";"<p><strong>Measuring at a perfect 16” x 22” and made with 3/8” thick tempered glass this Allied Brass Mambo Collection 16 inches Double Glass Shelf (Model MA-2/16) is a stunning addition to any bathroom.</strong> Designed to fit into whatever you decorating preferences may be. You also have several wonderful finishes to choose from, so finding that natural match is easier than ever. Whether you want to store your bathroom necessities in a tasteful manner or have special treasures you’d like to display, this double glass shelf will fit the bill. The materials used to craft these shelves are the best available keeping quality in mind while integrating style since both are equally important. There’s no reason to sacrifice class for function. <strong>Whether you choose to utilize the beauty and function of this double glass shelf within the walls of your bathroom or extend its use into another room, your ensured fantastic use and style.</strong></p>"
"MA-5/16";"";"Allied Brass MA-5/16 Mambo Triple Glass Shelf 16 Inches";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>Length - available in 16 inches </li>
</ul>";"82.0000";"";"";"";"";"";"9999";"In Stock";"No";"MA-5-M-L.jpg";"0.00";"1";"<p><strong>This Allied Brass Mambo Triple Glass Shelf 16 Inches (Model MA-5/16) is an absolutely gorgeous addition to any bathroom. This triple glass shelf can be used in any room adding not only a wonderful touch of charm, but function that is complimented by its quality craftsmanship.</strong> With each shelf measuring 16 inches and made from 3/8” thick tempered glass you know you have a shelf unit that will take up minimal space while providing plenty of room for storing all your personal needs. Lasting for years to come, this triple glass shelf is a perfect fit for any décor. There is a nice variety of finishes to choose from which makes finding that just right look to complete the style you’re striving for. Whether your taste runs in the modern cultured look or a soft country air, this triple glass shelf is a stunning addition that eliminates a cluttered look. Choosing to utilize this triple glass shelf for displaying your favorite treasure s just one more function it’s capable of fulfilling. <strong>Wherever you choose to showcase this wonderful set of shelves, you’re sure to be pleased.</strong></p>"
"MC-98";"";"Allied Brass MC-98 Monte Carlo Shower Curtain Rod Brackets";"";"36.2500";"";"";"";"";"";"9999";"In Stock";"No";"MC-98-M-L.jpg";"0.00";"1";"<p><strong>For those who truly care about every last detail these Allied Brass Monte Carlo Shower Curtain Rod Brackets (Model MC-98) are the ultimate in finding a classy, unique finishing touch. Shown here in a satin brass finish, there is a variety of other impressive finishes as well.</strong> Whatever your taste in décor may be, these shower curtain rod brackets are absolutely gorgeous from any angle. These rod brackets are the kind of detail that will grab the attention of anyone who enters your bathroom leaving an impression of impeccable taste in style and design that will surely elicit murmurs of approval. Don’t be surprised when you’re asked where you found these stunning shower curtain rod brackets. Whether you’re goal is to convey an air of regality or one of modern terms, these rod brackets will fit in with class and ease. <strong>Let your self feel like royalty every time you enter your bathroom.</strong></p>"
"MC-99";"";"Allied Brass MC-99 Monte Carlo Shower Curtain Rod Brackets MC-99";"";"62.5000";"";"";"";"";"";"9999";"In Stock";"No";"MC-99-M-L.jpg";"0.00";"1";"<p><strong>For a feel and look of sheer class and style these Allied Brass Monte Carlo Shower Curtain Rod Brackets (Model MC-99) are absolutely gorgeous from any angle.</strong> Each time you enter you’re bathroom you’ll feel like you’ve stepped into an atmosphere created just for you right down to the last detail. That’s what these shower curtain rod brackets are about, the finest in detail. They aren’t just pleasing to the eye, but are strong and functional giving you years of function and reliability use after use. The finish shown here is polished brass and is a just stunning. Equally pleasing is the various other finishes available to make your décor choice easier than ever to match. <strong>For a look that will fit any taste preference from classic to contemporary the shower curtain rod brackets are head and shoulders above others of lesser value and style available in the market today.</strong></p>"
"PR-1/16";"";"Allied Brass PR-1/16 Prestige Regal 16 Inches Glass Shelf";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>Length - available in 16 inches </li>
</ul>";"36.0000";"";"";"";"";"";"9999";"In Stock";"No";"PR-1-M-L.jpg";"0.00";"1";"<p><strong>Even if you were to simply install this Allied Brass Prestige Regal 16 Inches Glass Shelf (Model PR-1/16) and put nothing on it, it would still add a touch of class to your bathroom that speaks of art in a simple yet functional form.</strong> Since you most likely will put items on it, you can be confident that this glass shelf will just add to the look. For storing personal bathroom necessities or displaying treasures, this glass shelf is constructed to accommodate whatever your décor choice may be. From a traditional air to one of modern terms, it’s sure to compliment in every way. Made from 3/8” thick tempered glass, safety was added into the mix as well. Available in 13 gorgeous finishes for you to choose from there’s no limit to the possibilities this glass shelf is capable of meeting. <strong>Whether it’s in your bathroom or any other room you choose, this glass shelf is absolutely gorgeous and will bring you years of enjoyment and use that remains a pleasure to the eye from every angle.</strong></p>"
"PR-2/16";"";"Allied Brass PR-2/16 Prestige Regal 16-inch Double Glass Shelf";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>Length - available in 16 inches </li>
</ul>";"58.5000";"";"";"";"";"";"9999";"In Stock";"No";"PR-2-M-L.jpg";"0.00";"1";"<p><strong>From the executive washroom to the humble guest bath this Allied Brass Prestige Regal 16-inch Double Glass Shelf (Model PR-2/16) is the perfect storage solution.</strong> Not only is it great for storage, but it’s stunning in style as well with its smooth lines and quality construction of 3/8” thick tempered glass. Each shelf measures 16 inches x 22 inches affording plenty of room to hold whatever you choose to utilize e it for. From showing off your personal treasures to storing your bathroom basics, this double glass shelf will bring you years of durable function and stylish use. Even the wall brackets have been attended to in terms of detail as they’re finish is of satin nickel with 13 other finishes to choose from as well. <strong>Whatever your tastes in decorating may be you have it all right here in style and choice of décor compliments that will bring an air of tasteful intentions for years to come.</strong></p>"
"PR-5/16";"";"Allied Brass PR-5/16 Prestige Regal 16 inches Triple Shelf";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>Length - 16 inches </li>
</ul>";"72.0000";"";"";"";"";"";"9999";"In Stock";"No";"PR-5-M-L.jpg";"0.00";"1";"<p><strong>For a stunning solution to storage in any bathroom this Allied Brass Prestige Regal 16 inches Triple Shelf (Model PR-5/16) is a perfect compliment. With each shelf measuring 16” x 22” there’s plenty of room for all your personal bathroom necessities as well as those knick knacks that add a homey touch.</strong> From whatever angle one views this triple shelf, it’s just gorgeous and will compliment the décor of your choosing. From contemporary to country charm this triple shelf is perfect in style and function that exceeds the average. With 13 different finishes of impeccable taste, the only limit is imagination. Constructed from 3/8” tempered glass you know that safety was a factor within its construction as well, giving peace of mind that’s worth it’s weight in gold. Showcase your talents in decorating with function and style as well as adding storage space to your daily living with this triple shelf.</p>"
"PR-3";"";"Allied Brass PR-3 Prestige Regal Double Corner Glass Shelf";"<ul>
<li>Glass thickness - 3/8 inches </li>
</ul>";"77.5000";"";"";"";"";"";"9999";"In Stock";"No";"PR-3-M-L.jpg";"0.00";"1";"<p>Talk about the ultimate in function and design with an amazing flair for a classy style that pays compliment to the simplest need. <strong>This Allied Brass Prestige Regal Double Corner Glass Shelf (Model PR-3) is crafted from tempered glass that’s 3” thick making certain that safety is a factor that doesn’t take away from the grand design and air it conveys.</strong> The wonderful array of choices in finishes accommodates a wide variety of decorating needs that will simply add to the charm and detail to complete any look. Whether your design taste runs in contemporary lines or the look of traditional curves, this double corner shelf will fit in with ease. Perfect for storing all your personal bathroom needs it’s also a fantastic idea for displaying your personal treasures as well. <strong>Whatever your choice in placement and use you can be certain that you’ll never tire of the eye pleasing look this double corner shelf conveys.</strong></p>"
"PR-6";"";"Allied Brass PR-6 Prestige Regal Triple Corner Glass Shelf";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>height - 14 inches</li>
</ul>";"86.5000";"";"";"";"";"";"9999";"In Stock";"No";"PR-6-M-L.jpg";"0.00";"1";"<p><strong>This gorgeous Allied Brass Prestige Regal Triple Corner Glass Shelf (Model PR-6) has numerous possibilities in not only style but use and placement. Whether you want to use it as a free standing shelf right on your cabinet top or hanging in the corner, this triple corner glass shelf is perfect.</strong> Not only is it pleasing to the eye, but it is an incredible space saver as well. With several finishes available to choose from you can’t go wrong when meeting your decorating goals. If your choice in utilizing this triple corner glass shelf is to display your favorite knick knacks, you know that the beauty of this shelf will simply compliment your treasures even further. For using to store your daily personal necessities it’s great for eliminating that cluttered look that we all strive to avoid. <strong>However you choose to use this shelf, you know with the 3/8” tempered glass construction, that you’re ensured years of functional use and style with this triple corner glass shelf.</strong></p>"
"PR-98";"";"Allied Brass PR-98 Prestige Regal Shower Curtain Rod Brackets";"";"36.2500";"";"";"";"";"";"9999";"In Stock";"No";"PR-98-M-L.jpg";"0.00";"1";"<p><strong>For a look that will accommodate any décor choice these Allied Brass Prestige Regal Shower Curtain Rod Brackets (Model PR-98) is a perfect compliment to any bathroom.</strong> With designing that can adorn a bathroom of classic tastes or one that says ultra modern the shower curtain rod brackets are simple and elegant from any angle. The variety of finishes available will add to the ease in which your decorating moves along. Paying attention to detail is what gives a complete look and these shower curtain rod brackets are the perfect detail for successful completion in every regard. The shower curtain rod is not included, but is sold separately. All made from the finest material available and by expert crafts people who care about the finished product you receive. <strong>Enjoy your gorgeous new shower curtain rod brackets that really do say regal in every way from every angle.</strong></p>"
