CPI;sku;image_url
"CPI";"DLVNF-001-CHBC";"DLVNF-001-Bianco_China.jpg"
"CPI";"DLVNF-001-EMDK";"DLVNF-001-Emperador_Dark.jpg"
"CPI";"DLVNF-001-EMLT";"DLVNF-001-Emperador_Light.jpg"
"CPI";"DLVNF-001-HNOX";"DLVNF-001-Honey_Onyx.jpg"
"CPI";"DLVNF-001-INGR";"DLVNF-001-Indian_Green.jpg"
"CPI";"DLVNF-001-NEMQ";"DLVNF-001-Nero_Marquina.jpg"
"CPI";"DLVNF-001-OVFL";"DLVNF-001-Overlord_Flower.jpg"
"CPI";"DLVNF-001-SERP";"DLVNF-001-Serpeggiante.jpg"
"CPI";"DLVNF-001-SVFL";"DLVNF-001-Silvia_Fadl.jpg"
"CPI";"DLVNF-001-WHTR";"DLVNF-001-White_Travertino.jpg"
"CPI";"DLVNF-074-CHBC";"DLVNF-074-China_Bianco.jpg"
"CPI";"DLVNF-074-EMDK";"DLVNF-074-Emperador_Dark.jpg"
"CPI";"DLVNF-074-EMLT";"DLVNF-074-Emperador_Light.jpg"
"CPI";"DLVNF-074-NEMQ";"DLVNF-074-Nero_Marquina.jpg"
"CPI";"DLVNF-074-SERP";"DLVNF-074-Serpeggiante.jpg"
