attribute_set,Brand,Product Name,Color,sink Depth,ada_compliant,Sink_material,number_basins,sink_size(dimentions txt),faucet_holes,Kitchen Sink Style,Kitchen Sink Type,Kitchen Sink Width,Kitchen Sink Length,Kitchen Sink Depth,Kitchen Sink Shape,SKU,MODEL NUMBER,PRODUCT DESCRIPTION,upc_code,Price,Category,Category,Category,Category,Category,Category,weight,qty,product image File
Kitchen Sinks ,Whitehaus,Whitehaus WH3719-BL 37 Inch Duet Double Bowl Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Black,,,Fireclay,,18 inches L x 37 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3719-BL,WH3719-BL,Duet Reversible double bowl fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Matching stainless steel grid: GR3719<br />,,1995,,,,,,,120,,WH3719.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3719-SB 37 Inch Duet Double Bowl Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Saphire Blue,,,Fireclay,,18 inches L x 37 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3719-SB,WH3719-SB,Duet Reversible double bowl fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Matching stainless steel grid: GR3719<br />,,1995,,,,,,,120,,WH3719.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-W 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,White,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-W,WHQ530-W,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1255,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-B 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Biscuit,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-B,WHQ530-B,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1300,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-BL 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Black,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-BL,WHQ530-BL,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1365,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-SB 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Saphire Blue,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-SB,WHQ530-SB,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1365,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-W 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,White,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-W,WHQ536-W,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1300,,,,,,,92,,WHQ536.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-B 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Biscuit,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-B,WHQ536-B,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1365,,,,,,,92,,WHQ536.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-BL 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Black,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-BL,WHQ536-BL,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1390,,,,,,,92,,WHQ536.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-SB 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Saphire Blue,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-SB,WHQ536-SB,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1390,,,,,,,92,,WHQ536.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB542-W 36 Inch Quatro Alcove Double Bowl Reversible Fireclay Farmhouse Kitchen Sink,White,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQDB542-W,WHQDB542-W,Large Quatro Alcove reversible fireclay bowl and a half sink with decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1470,,,,,,,87,,WHQDB542.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB542-B 36 Inch Quatro Alcove Double Bowl Reversible Fireclay Farmhouse Kitchen Sink,Biscuit,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQDB542-B,WHQDB542-B,Large Quatro Alcove reversible fireclay bowl and a half sink with decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1515,,,,,,,87,,WHQDB542.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB542-BL 36 Inch Quatro Alcove Double Bowl Reversible Fireclay Farmhouse Kitchen Sink,Black,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQDB542-BL,WHQDB542-BL,Large Quatro Alcove reversible fireclay bowl and a half sink with decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1555,,,,,,,87,,WHQDB542.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB542-SB 36 Inch Quatro Alcove Double Bowl Reversible Fireclay Farmhouse Kitchen Sink,Saphire Blue,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQDB542-SB,WHQDB542-SB,Large Quatro Alcove reversible fireclay bowl and a half sink with decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1555,,,,,,,87,,WHQDB542.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQD540-W 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink With Drain Board,White,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQD540-W,WHQD540-W,Large Quatro Alcove reversible fireclay sink with integral drain board and decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1300,,,,,,,75,,WHQD540.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQD540-B 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink With Drain Board,Biscuit,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQD540-B,WHQD540-B,Large Quatro Alcove reversible fireclay sink with integral drain board and decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1365,,,,,,,75,,WHQD540.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQD540-BL 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink With Drain Board,Black,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQD540-BL,WHQD540-BL,Large Quatro Alcove reversible fireclay sink with integral drain board and decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1390,,,,,,,75,,WHQD540.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQD540-SB 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink With Drain Board,Saphire Blue,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQD540-SB,WHQD540-SB,Large Quatro Alcove reversible fireclay sink with integral drain board and decorative 2 1/2 Inch lip on both sides.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2215<br />,,1390,,,,,,,75,,WHQD540.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB532-W 33 Inch Double Bowl Reversible Fireclay Farmhaus Kitchen Sink with Lip,White,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB532-W,WHQDB532-W,Quatro Alcove Reversable double bowl fireclay sink with a decorative 2 1/2 Inch lip on one side and 2 Inch lip on the other.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1470,,,,,,,90,,whq532.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB532-B 33 Inch Double Bowl Reversible Fireclay Farmhaus Kitchen Sink with Lip,Biscuit,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB532-B,WHQDB532-B,Quatro Alcove Reversable double bowl fireclay sink with a decorative 2 1/2 Inch lip on one side and 2 Inch lip on the other.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1515,,,,,,,90,,whq532.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB532-BL 33 Inch Double Bowl Reversible Fireclay Farmhaus Kitchen Sink with Lip,Black,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB532-BL,WHQDB532-BL,Quatro Alcove Reversable double bowl fireclay sink with a decorative 2 1/2 Inch lip on one side and 2 Inch lip on the other.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1555,,,,,,,90,,whq532.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB532-SB 33 Inch Double Bowl Reversible Fireclay Farmhaus Kitchen Sink with Lip,Saphire Blue,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB532-SB,WHQDB532-SB,Quatro Alcove Reversable double bowl fireclay sink with a decorative 2 1/2 Inch lip on one side and 2 Inch lip on the other.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1555,,,,,,,90,,whq532.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB332-W 33 Inch Quatro Alcove Reversible Double Bowl Fireclay Kitchen Sink with a Fluted Front Apron,White,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB332-W,WHQDB332-W,Quatro Alcove Reversible double bowl fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1495,,,,,,,90,,WHQDB332.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB332-B 33 Inch Quatro Alcove Reversible Double Bowl Fireclay Kitchen Sink with a Fluted Front Apron,Biscuit,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB332-B,WHQDB332-B,Quatro Alcove Reversible double bowl fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1550,,,,,,,90,,WHQDB332.jpg
