SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;Manufacturer;YOW_SKU
SHRSPOUTOR;8,41248E+11;"Fusion Hardware SHRSPOUTOR SHOWER ARM WITH FLANGE - 12"" RIGHT ANGLE ARM - OIL RUBBED BRONZE";"Finish Matching Items.<br><ul><li>Sturdy Brass Arm</li><li>12 inches long with a 90 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";46,49225;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469956
MAT150ORB;8,41248E+11;"Fusion Hardware MAT150ORB DAISY SHOWER HEAD 4"" - MATCHING - OIL RUBBED BRONZE";"Finish Matching Items.<br><ul><li>4"" diameter Showerhead</li><li>60 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";95,984;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469912
SHRSPOUTSP;8,41248E+11;"Fusion Hardware SHRSPOUTSP SHOWER ARM WITH FLANGE - 14"" S SHAPED EXTENSION - POLISHED CHROME";Finish Matching Items.<br><ul><li>Allows for Downward Projection of Showerhead from a standard installation height</li><li>Sturdy Brass Arm</li><li>Complete with Matching Escutcheon Trim</li></ul>;71,238125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469935
MAT100ORB;8,41248E+11;Fusion Hardware MAT100ORB DAISY SHOWER HEAD 51279 - MATCHING - OIL RUBBED BRONZE;"Finish Matching Items.<br><ul><li>6"" diameter Showerhead</li><li>90 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";125,979;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469922
MAT300ATP;8,41248E+11;"Fusion Hardware MAT300ATP 10"" CAN SHOWER HEAD - ANTIQUE PEWTER";"Finish Matching Items.<br><ul><li>10"" Can Showerhead</li><li>Brass Construction</li><li>Natural Cascading Flow - Ideal for Over Head Installation or use with ""S"" Shower Arm</li><li>chromed Face for easy Cleaning</li><li>Flow Rate 2.5 GPM @ 60 PSI</li></ul>";215,964;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469899
MAT100PVD;8,41248E+11;Fusion Hardware MAT100PVD DAISY SHOWER HEAD 51279 - MATCHING - PVD BRASS;"Finish Matching Items.<br><ul><li>6"" diameter Showerhead</li><li>90 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";125,979;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469924
SHRSPOUTSD;8,41248E+11;"Fusion Hardware SHRSPOUTSD SHOWER ARM WITH FLANGE - 14"" S SHAPED EXTENSION - DARK BRONZE";Finish Matching Items.<br><ul><li>Allows for Downward Projection of Showerhead from a standard installation height</li><li>Sturdy Brass Arm</li><li>Complete with Matching Escutcheon Trim</li></ul>;71,238125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;471606
SHRSPOUTMD;8,41248E+11;"Fusion Hardware SHRSPOUTMD SHOWER ARM WITH FLANGE - 12"" RIGHT ANGLE ARM - MEDIUM BRONZE";"Finish Matching Items.<br><ul><li>Sturdy Brass Arm</li><li>12 inches long with a 90 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";46,49225;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469950
SHRSPOUTPL;8,41248E+11;"Fusion Hardware SHRSPOUTPL SHOWER ARM WITH FLANGE - 12"""" RIGHT ANGLE ARM - POLISHED CHROME";"Finish Matching Items.<br><ul><li>Sturdy Brass Arm</li><li>12 inches long with a 90 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";46,49225;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469959
MAT100MDB;8,41248E+11;"Fusion Hardware MAT100MDB DAISY SHOWER HEAD 51279 - MATCHING - MEDIUM BRONZE";"Finish Matching Items.<br><ul><li>6"" diameter Showerhead</li><li>90 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";125,979;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469920
MAT100ATC;8,41248E+11;Fusion Hardware MAT100ATC DAISY SHOWER HEAD 51279 - MATCHING - ANTIQUE COPPER;"Finish Matching Items.<br><ul><li>6"" diameter Showerhead</li><li>90 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";125,979;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469916
MAT100ATP;8,41248E+11;Fusion Hardware MAT100ATP DAISY SHOWER HEAD 51279 - MATCHING - ANTIQUE PEWTER;"Finish Matching Items.<br><ul><li>6"" diameter Showerhead</li><li>90 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";125,979;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469917
SHRSPOUTAT;8,41248E+11;"Fusion Hardware SHRSPOUTAT SHOWER ARM WITH FLANGE - 14"" S SHAPED EXTENSION - ANTIQUE PEWTER";Finish Matching Items.<br><ul><li>Allows for Downward Projection of Showerhead from a standard installation height</li><li>Sturdy Brass Arm</li><li>Complete with Matching Escutcheon Trim</li></ul>;71,238125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469964
SHRSPTSTOR;8,41248E+11;Fusion Hardware SHRSPTSTOR STANDARD SHOWER SPOUT WITH ESCUTCHEON - OIL RUBBED BRONZE;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469987
MAT150PVD;8,41248E+11;"Fusion Hardware MAT150PVD DAISY SHOWER HEAD 4"" - MATCHING - PVD BRASS";"Finish Matching Items.<br><ul><li>4"" diameter Showerhead</li><li>60 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";95,984;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469915
MAT300DKB;8,41248E+11;"Fusion Hardware MAT300DKB 10"" CAN SHOWER HEAD - DARK BRONZE";"Finish Matching Items.<br><ul><li>10"" Can Showerhead</li><li>Brass Construction</li><li>Natural Cascading Flow - Ideal for Over Head Installation or use with ""S"" Shower Arm</li><li>chromed Face for easy Cleaning</li><li>Flow Rate 2.5 GPM @ 60 PSI</li></ul>";215,964;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469901
MAT300MDB;8,41248E+11;"Fusion Hardware MAT300MDB 10"" CAN SHOWER HEAD - MEDIUM BRONZE";"Finish Matching Items.<br><ul><li>10"" Can Showerhead</li><li>Brass Construction</li><li>Natural Cascading Flow - Ideal for Over Head Installation or use with ""S"" Shower Arm</li><li>chromed Face for easy Cleaning</li><li>Flow Rate 2.5 GPM @ 60 PSI</li></ul>";215,964;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469902
MAT300PLC;8,41248E+11;"Fusion Hardware MAT300PLC 10"" CAN SHOWER HEAD - POLISHED CHROME";"Finish Matching Items.<br><ul><li>10"" Can Showerhead</li><li>Brass Construction</li><li>Natural Cascading Flow - Ideal for Over Head Installation or use with ""S"" Shower Arm</li><li>chromed Face for easy Cleaning</li><li>Flow Rate 2.5 GPM @ 60 PSI</li></ul>";215,964;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469904
MAT150BRN;8,41248E+11;"Fusion Hardware MAT150BRN DAISY SHOWER HEAD 4"" - MATCHING - BRUSHED NICKEL";"Finish Matching Items.<br><ul><li>4"" diameter Showerhead</li><li>60 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";95,984;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469908
SHRSPTSTBR;8,41248E+11;Fusion Hardware SHRSPTSTBR STANDARD SHOWER SPOUT WITH ESCUTCHEON - BRUSHED NICKEL;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469983
SHRSPOUTSE;8,41248E+11;"Fusion Hardware SHRSPOUTSE SHOWER ARM WITH FLANGE - 14"" S SHAPED EXTENSION - PVD BRASS";Finish Matching Items.<br><ul><li>Allows for Downward Projection of Showerhead from a standard installation height</li><li>Sturdy Brass Arm</li><li>Complete with Matching Escutcheon Trim</li></ul>;71,238125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469939
SHRSPOUTSM;8,41248E+11;"Fusion Hardware SHRSPOUTSM SHOWER ARM WITH FLANGE - 14"" S SHAPED EXTENSION - MEDIUM BRONZE";Finish Matching Items.<br><ul><li>Allows for Downward Projection of Showerhead from a standard installation height</li><li>Sturdy Brass Arm</li><li>Complete with Matching Escutcheon Trim</li></ul>;71,238125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;471607
