SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed
"3319-6BS3-36";"881208025152";"Houzer 3319-6BS3-36 Glowtone Manufactured Housing Double Bowl Six Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 19"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 13-1/8""x14-1/16""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"59,625";"";"";"";"";"";"9999";"In Stock";"No";"";"1.00";"1"
"3319-6BS4-36";"881205025169";"Houzer 3319-6BS4-36 Glowtone Manufactured Housing Double Bowl Six Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 19"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 13-1/8""x14-1/16""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"59,625";"";"";"";"";"";"9999";"In Stock";"No";"";"1.00";"1"
"3319-7BS3-36";"881208025251";"Houzer 3319-7BS3-36 Glowtone Manufactured Housing Double Bowl Seven Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 19"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 13-1/8""x14-1/16""x7"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"79,74";"";"";"";"";"";"9999";"In Stock";"No";"";"1.00";"1"
"3319-7BS4-36";"881208025268";"Houzer 3319-7BS4-36 Glowtone Manufactured Housing Double Bowl Seven Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 19"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 13-1/8""x14-1/16""x7"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"79,74";"";"";"";"";"";"9999";"In Stock";"No";"";"1.00";"1"
"3322-6BS3-36";"881208021154";"Houzer 3322-6BS3-36 Glowtone Double Bowl Six Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 22"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"61,395";"";"";"";"";"";"9999";"In Stock";"No";"33226BS3.jpg";"1.00";"1"
"3322-6BS4-36";"881208021161";"Houzer 3322-6BS4-36 Glowtone Double Bowl Six Inches Deep Four Holes";"Classic look of the double-equal bowl. 33"" x 22"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"61,395";"";"";"";"";"";"9999";"In Stock";"No";"33226BS4.jpg";"1.00";"1"
"3322-7BS4-36";"881208021253";"Houzer 3322-7BS4-36 Glowtone Double Bowl Seven Inches Deep Four Holes";"Classic look of the double-equal bowl. 33"" x 22"" overall dimension with a 7"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x7"" deep. </li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"96,255";"";"";"";"";"";"9999";"In Stock";"No";"33227BS4.jpg";"1.00";"1"
"3322-7MF-36";"881208022359";"Houzer 3322-7MF-36 Glowtone Double Bowl Seven Inches Deep Four Holes";"Classic look of the double-equal bowl. 33"" x 22"" overall dimension with a 7"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x7"" deep. </li><li>Lustrous Satin Finish, High polished deck, and sound absorbing pads</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"123,9075";"";"";"";"";"";"9999";"In Stock";"No";"33227MF.jpg";"1.00";"1"
"3322-8BS3-36";"881208021352";"Houzer 3322-8BS3-36 Glowtone Double Bowl Eight Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 22"" overall dimension with a 8"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x8"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>20 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"133,7775";"";"";"";"";"";"9999";"In Stock";"No";"33228BS3.jpg";"1.00";"1"
"3322-8BS4-36";"881208021369";"Houzer 3322-8BS4-36 Glowtone Double Bowl Eight Inches Deep Four Holes";"Classic look of the double-equal bowl. 33"" x 22"" overall dimension with a 8"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x8"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>20 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"133,7775";"";"";"";"";"";"9999";"In Stock";"No";"33228BS4.jpg";"1.00";"1"
