Brand,Title,att,Model,SKU,UPC,Color,MSRP,Item Width,Item Height,Item Length,Item Weight,Description,Image URL
Alfi,"Alfi AB5123-B 32"" Short Wall Double Bowl Fireclay Farmhouse Kitchen Sink with 1 3/4"" Lip",Kitchen Sinks ,AB5123,AB5123-B,628586238886,Biscuit,1145,17.75,8.5,29.75,67,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:30 1/2 Top Width 31 3/4 . This sink tapers from top to bottom by 5/8<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />  1 3/4 Lip surrounding the top edge on all 3 sides. <br />Bowl Dimensions   14 3/4 x 16 1/4 x 7 1/4<br />Now you can enjoy the benefits of a double bowl sink and still be able to store large pans completely in the sink with out the handle stick way out. <br />Each bowl is equal in size.,AB5123a.jpg
Alfi,"Alfi AB538-W 32"" Smooth Double Bowl Fireclay Farmhouse Kitchen Sink",Kitchen Sinks ,AB538,AB538-W,628586238893,White,1250,19.875,10,32.75,103,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:32 1/2 Top Width 32 3/4 . This sink tapers from top to bottom by 1/8<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />Completely smooth apron all around.<br />Bowl Dimensions   15 1/8 x 18 1/8 x 9 1/8<br /><br />,AB538a.jpg
Alfi,"Alfi AB538-B 32"" Smooth Double Bowl Fireclay Farmhouse Kitchen Sink",Kitchen Sinks ,AB538,AB538-B,628586238909,Biscuit,1350,19.875,10,32.75,103,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:32 1/2 Top Width 32 3/4 . This sink tapers from top to bottom by 1/8<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />Completely smooth apron all around.<br />Bowl Dimensions   15 1/8 x 18 1/8 x 9 1/8<br /><br />,AB538a.jpg
Alfi,Alfi AB102 Small Porcelain Wall Mount Basin,Bathroom Sinks ,AB102,AB102,628586238916,White,240,10.125,5.5,16.25,10,A simple small porcelain wall mounted bathroom sink is sometimes harder to find than you might think. This model has been selling very well due to its small size and convenient shape. Perfect for those small bathrooms or powder rooms.<br />Small ceramic wall mounted bathroom basin / sink. A simple yet elegant design never goes out of style. <br />1 3/4 Center drain.<br />Inner Dimensions   12 1/2 x 7 7/8 x 4 1/2<br />No Overflow<br /><br /><br />,AB102.jpg
Alfi,Alfi AB103 Small Porcelain Wall Mount Basin ,Bathroom Sinks ,AB103,AB103,628586238923,White,240,8,5.5,17.5,10,A simple small porcelain wall mounted bathroom sink is sometimes harder to find than you might think. This model has been selling very well due to its small size and convenient shape. Perfect for those small bathrooms or powder rooms.<br />Small ceramic wall mounted bathroom basin / sink. A simple yet elegant design never goes out of style. <br />1 3/4 Center drain.<br />Inner Dimensions   10 1/4 x 6 x 6<br />No Overflow<br /><br /><br />,AB103.jpg
Alfi,Alfi AB104 Corner Porcelain Wall Mount Basin,Bathroom Sinks,AB104,AB104,628586238930,White,285,15.25,6.25,15.25,10,A simple small porcelain wall mounted bathroom sink is sometimes harder to find than you might think. This model has been selling very well due to its small size and convenient shape. Perfect for those small bathrooms or powder rooms.<br />Small ceramic wall mounted bathroom basin / sink. A simple yet elegant design never goes out of style. <br />1 3/4 Center drain.<br />Inner Dimensions   12 1/2 dia. x 4 3/4<br />No Overflow<br /><br /><br />,AB104.jpg
Alfi,Alfi AB106 Small Porcelain Wall Mount Basin with Overflow,Bathroom Sinks ,AB106,AB106,628586238947,White,270,17.25,7.75,13.5,10,A simple small porcelain wall mounted bathroom sink is sometimes harder to find than you might think. This model has been selling very well due to its small size and convenient shape. Perfect for those small bathrooms or powder rooms.<br />Small ceramic wall mounted bathroom basin / sink. A simple yet elegant design never goes out of style. <br />1 3/4 Center drain.<br />Inner Dimensions   15 1/4 x 9 x 5<br />With Overflow<br /><br /><br />,AB106.jpg
Alfi,Alfi AB2023 Solid Stainless Steel Pull Out Single Hole Kitchen Faucet,Kitchen Faucets,AB2023,AB2023,628586238954,Brushed Nickel,420,,10.25,,6.8,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Features a pull out spray head with shower spray mode. <br />One handed control valve. Pull to the right to control pressure, push front and back for water temperature. Indicated by a small
blue and red dot. <br />SOLID STAINLESS STEEL faucet made of the highest quality material, designed to last.<br />As this faucet is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Cartridge Type: KEROX K35A 35mm<br />Compliant with the new lead free legislation AB1953 effective in CA & VT.<br />",AB2023.jpg
Alfi,Alfi AB2025 Solid Stainless Steel Pull Out Single Hole Kitchen Faucet,Kitchen Faucets,AB2025,AB2025,628586238961,Brushed Nickel,370,,6.5,,5.8,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Pull out faucet head. Water continues to flow regularly.<br />One handed control valve. Pull up to control pressure, push left and right for water temperature. Indicated by a small
blue and red dot. <br />SOLID STAINLESS STEEL faucet made of the highest quality material, designed to last.<br />As this faucet is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Cartridge Type: KEROX K35A 35mm<br />Compliant with the new lead free legislation AB1953 effective in CA & VT.<br />",AB2025.jpg
Alfi,Alfi AB2028 Solid Stainless Steel Single Hold Pull Down Kitchen Faucet,Kitchen Faucets,AB2028,AB2028,628586238978,Brushed Nickel,370,,16.875,,6.6,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Features a pull down spray head.<br />One handed control valve. Pull to the right to control pressure, push front and back for water temperature. Indicated by a small
blue and red dot. <br />SOLID STAINLESS STEEL faucet made of the highest quality material, designed to last.<br />As this faucet is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Cartridge Type: KEROX K35A 35mm<br />Compliant with the new lead free legislation AB1953 effective in CA & VT.<br />",AB2028.jpg
