CPI;sku;image_url
"CPI";"GV-103-14-CH";"gv10314ch-4.jpg"
"CPI";"GV-103-14-CH";"gv10314ch-5.jpg"
"CPI";"GV-103-14-SN";"gv10314ch-3.jpg"
"CPI";"GV-103-14-SN";"gv10314ch-4.jpg"
"CPI";"GV-103-14-SN";"gv10314ch-5.jpg"
"CPI";"GV-103-14-AB";"gv10314ch-3.jpg"
"CPI";"GV-103-14-AB";"gv10314ch-4.jpg"
"CPI";"GV-103-14-AB";"gv10314ch-5.jpg"
"CPI";"GV-103-14-ORB";"gv10314ch-3.jpg"
"CPI";"GV-103-14-ORB";"gv10314ch-4.jpg"
"CPI";"GV-103-14-ORB";"gv10314ch-5.jpg"
"CPI";"GV-103-14-G";"gv10314ch-3.jpg"
"CPI";"GV-103-14-G";"gv10314ch-4.jpg"
"CPI";"GV-103-14-G";"gv10314ch-5.jpg"
"CPI";"GV-103FR-CH";"gv103frch-3.jpg"
"CPI";"GV-103FR-CH";"gv103frch-4.jpg"
"CPI";"GV-103FR-CH";"gv103frch-5.jpg"
"CPI";"GV-103FR-SN";"gv103frch-3.jpg"
"CPI";"GV-103FR-SN";"gv103frch-4.jpg"
"CPI";"GV-103FR-SN";"gv103frch-5.jpg"
"CPI";"GV-103FR-AB";"gv103frch-3.jpg"
"CPI";"GV-103FR-AB";"gv103frch-4.jpg"
"CPI";"GV-103FR-AB";"gv103frch-5.jpg"
"CPI";"GV-103FR-ORB";"gv103frch-3.jpg"
"CPI";"GV-103FR-ORB";"gv103frch-4.jpg"
"CPI";"GV-103FR-ORB";"gv103frch-5.jpg"
"CPI";"GV-103FR-G";"gv103frch-3.jpg"
"CPI";"GV-103FR-G";"gv103frch-4.jpg"
"CPI";"GV-103FR-G";"gv103frch-5.jpg"
"CPI";"GV-103FR-14-CH";"gv103fr14ch-3.jpg"
"CPI";"GV-103FR-14-CH";"gv103fr14ch-4.jpg"
"CPI";"GV-103FR-14-CH";"gv103fr14ch-5.jpg"
"CPI";"GV-103FR-14-SN";"gv103fr14ch-3.jpg"
"CPI";"GV-103FR-14-SN";"gv103fr14ch-4.jpg"
"CPI";"GV-103FR-14-SN";"gv103fr14ch-5.jpg"
"CPI";"GV-103FR-14-AB";"gv103fr14ch-3.jpg"
"CPI";"GV-103FR-14-AB";"gv103fr14ch-4.jpg"
"CPI";"GV-103FR-14-AB";"gv103fr14ch-5.jpg"
"CPI";"GV-103FR-14-ORB";"gv103fr14ch-3.jpg"
"CPI";"GV-103FR-14-ORB";"gv103fr14ch-4.jpg"
"CPI";"GV-103FR-14-ORB";"gv103fr14ch-5.jpg"
"CPI";"GV-103FR-14-G";"gv103fr14ch-3.jpg"
"CPI";"GV-103FR-14-G";"gv103fr14ch-4.jpg"
"CPI";"GV-103FR-14-G";"gv103fr14ch-5.jpg"
"CPI";"GV-104-CH";"gv104ch-3.jpg"
"CPI";"GV-104-CH";"gv104ch-4.jpg"
"CPI";"GV-104-CH";"gv104ch-5.jpg"
"CPI";"GV-104-SN";"gv104ch-3.jpg"
